Ticker,Market Cap
DHR,194506407936
DHT,1832616448
DHX,85190864
DIAX,519683008
DIN,495228608
DINO,9308052480
DIS,161953595392
DK,1403714560
DKL,1835110656
DKS,18305957888
DLB,6845004288
DLNG,139796832
DLR,49947254784
DLX,885990464
DLY,780078208
DM,135038032
DMA,72781504
DMB,199336976
DMO,138992528
DNA,492398912
DNB,5261670912
DNMR,48656836
DNOW,1350039680
DNP,3301870336
DO,1488331520
DOC,15017376768
DOCN,3456939520
DOCS,6637380608
DOLE,1458462720
DOMA,84830488
DOUG,190093472
DOV,24719073280
DOW,37786652672
DPG,409307840
DPZ,15489980416
DQ,1029801600
DRD,830485120
DRH,1706730368
DRI,16982999040
DRQ,525051520
DSL,1344555264
DSM,302997952
DSU,504419424
DSX,309039008
DT,14770129920
DTB,N/A
DTC,83723352
DTE,25233668096
DTF,79574728
DTG,N/A
DTM,7323193344
DTW,4230110464
DUK,86718283776
DUKB,N/A
DV,3234034432
DVA,12610169856
DVN,28235358208
DX,918905984
DXC,3486074624
DXYZ,123813264
DY,5619933184
E,50569654272
EAF,176287984
EAI,1062222336
EARN,177542272
EAT,2917242112
EB,278693216
EBF,595293440
EBR,16867959808
EBS,568216896
EC,21318957056
ECAT,1717916032
ECC,957272064
ECCC,N/A
ECCF,N/A
ECCV,N/A
ECCW,N/A
ECCX,448106656
ECL,68476911616
ECO,1016689664
ECVT,795462784
ED,34649313280
EDD,322750816
EDF,151462000
EDN,1038456448
EDR,8430726656
EDU,11819212800
EE,2088994304
EEA,60973596
EEX,1052263360
EFC,1135305856
EFR,374940832
EFT,344369184
EFX,36164321280
EFXT,725663232
EG,16207656960
EGF,36481292
EGO,3620174336
EGP,8819191808
EGY,691965824
EHAB,420368384
EHC,8917388288
EHI,162255072
EIC,240041328
EICA,N/A
EICB,N/A
EICC,N/A
EIG,1150183040
EIX,32211023872
EL,34052823040
ELAN,7162768896
ELC,N/A
ELF,8977001472
ELME,1510261888
ELP,5448106496
ELPC,5448104448
ELS,13769903104
ELV,126076420096
EMD,576838336
EME,17104136192
EMF,196357232
EMN,11423065088
EMO,511747744
EMP,198546304
EMR,58967478272
ENB,84266156032
ENFN,753142464
ENIC,3845657600
ENJ,189925008
ENLC,6151115264
ENO,202377232
ENOV,2465799680
ENR,2093574144
ENS,3845793024
ENV,3460554240
ENVA,2182454272
ENZ,58147200
EOD,210161600
EOG,72814911488
EOI,774642752
EOS,1114670720
EOT,269529536
EP,166008656
EPAC,2183406848
EPAM,11463943168
EPC,1889536256
EPD,63307649024
EPR,3367330816
EPRT,5227272192
EQBK,583660992
EQC,2184320256
EQH,13033376768
EQNR,76841967616
EQR,27907028992
EQS,18354956
EQT,19098032128
ERJ,6015977984
ERO,2042981120
ES,23269337088
ESAB,6055563776
ESE,3123545088
ESI,6186727936
ESNT,6475876864
ESRT,2954319616
ESS,18880049152
ESTC,11067609088
ET,55782346752
ETB,412714528
ETD,772267648
ETG,1438193792
ETI,N/A
ETJ,609754368
ETN,118108307456
ETO,421174176
ETR,25146525696
ETV,1559846784
ETW,909663424
ETWO,1296553600
ETX,203440656
ETY,2203431936
EVA,40228108
EVC,167376016
EVEX,757275840
EVF,98218152
EVG,149043248
EVH,3184020224
EVN,422852352
EVR,9225461760
EVRI,1104087296
EVT,1789027200
EVTC,2120257408
EVTL,185849152
EW,41517408256
EXG,2578928384
EXK,740517184
EXP,8308935680
EXPD,16943826944
EXR,36891398144
EXTO,714683200
F,41779875840
FAF,6382142464
FAM,64105024
FBIN,9565003776
FBK,2092880384
FBMS,1002294912
FBP,3378917120
FBRT,1043319744
FC,507538912
FCF,1669540480
FCN,8076917760
FCPT,2490191104
FCRX,N/A
FCT,266329856
FCX,62417199104
FDP,1321617536
FDX,69912444928
FE,24516999168
FEDU,28697572
FENG,39275316
FERG,41469530112
FET,197399056
FF,269581312
FFA,391566880
FFC,729895168
FFWM,430860800
FG,5217976832
FGB,57326724
FGN,N/A
FHI,2775524352
FHN,8467109376
FI,96330309632
FICO,42949054464
FIGS,948273024
FIHL,2157711616
FINS,315538144
FINV,1481116416
FIS,43099713536
FIX,11779916800
FL,3084965120
FLC,170968688
FLNG,1457743872
FLO,4782657536
FLR,8295477760
FLS,6224500224
FLUT,36966592512
FMC,7888877056
FMN,136712416
FMS,11132107776
FMX,202169434112
FMY,52284820
FN,8352432640
FNA,654971648
FNB,5077142528
FND,11270332416
FNF,15573547008
FNV,23435685888
FOA,75932368
FOF,334562400
FOR,1484657024
FOUR,7219590144
FPF,1123858816
FPH,450306464
FPI,493208288
FR,7384474112
FRA,456256992
FREY,170440096
FRGE,239936976
FRO,5601195008
FRT,9551907840
FSCO,1235757824
FSK,5514499584
FSLY,893969984
FSM,1435056000
FSS,5819885568
FT,178939120
FTHY,538724416
FTI,11561787392
FTK,128187304
FTS,21674903552
FTV,24376797184
FUBO,503885600
FUL,4425518080
FUN,4449732608
FVRR,871211328
G,6820653568
GAB,1625050624
GAM,1208587392
GATO,842495552
GATX,4917227520
GB,926028032
GBAB,431794112
GBCI,4955361792
GBLI,427487616
GBTG,3327095296
GBX,1441049344
GCI,695196032
GCO,339601280
GCTS,160615696
GCV,72664800
GD,81496399872
GDDY,23063183360
GDL,94927936
GDO,190901296
GDOT,577944384
GDV,2102947072
GE,183703797760
GEF,2949529088
GEL,1692452480
GENI,1538153600
GEO,1817982720
GES,1204339456
GETY,1391306880
GEV,50580054016
GF,136710656
GFF,3122301696
GFI,14982701056
GFL,15535998976
GFR,478918272
GGB,6442033664
GGG,13620907008
GGT,137518496
GGZ,96989840
GHC,3322208512
GHG,255890880
GHI,318577152
GHLD,959467904
GHM,319441824
GHY,511548736
GIB,24712749056
GIC,1237310976
GIL,6860515840
GIS,38423478272
GJO,N/A
GJP,N/A
GJR,N/A
GJS,N/A
GJT,N/A
GKOS,7002342400
GL,8702640128
GLOB,8811486208
GLOP,N/A
GLP,1415652864
GLT,82168752
GLW,34399178752
GM,50936053760
GME,9547282432
GMED,9459533824
GMRE,600831872
GMS,3644351232
GNE,431903168
GNK,757242368
GNL,1915013504
GNRC,9060199424
GNT,93306896
GNTY,371219712
GNW,2894600960
GOF,2201975552
GOLD,34546307072
GOLF,4111840512
GOOS,1035277696
GOTU,1108252928
GPC,19345696768
GPI,4739436544
GPJA,233297184
GPK,8574256640
GPMT,132285496
GPN,27690379264
GPOR,2589677568
GPRK,508149152
GPS,9084123136
GRBK,3150373632
GRC,1004775552
GRMN,33072340992
GRND,2085505280
GRNT,862910400
GROV,52986960
GRX,168083680
GS,159245303808
GSBD,1617577728
GSK,84189315072
GSL,948494016
GTES,4559914496
GTLS,4939384320
GTN,499311744
GTY,1655905792
GUG,514159776
GUT,460510720
GVA,3101332992
GWH,99287232
GWRE,12220941312
GWW,47183691776
GXO,5758261248
H,14355792896
HAE,3855727616
HAFN,3942879488
HAL,27703173120
HASI,3711172608
HAYW,3022548480
HBB,379807744
HBI,2240233472
HBM,3042543360
HCA,96460316672
HCC,3089469952
HCI,1006321728
HCXY,1349037440
HD,359023771648
HDB,152666783744
HE,1474751104
HEI,28854431744
HEQ,128438184
HES,42085429248
HESM,8082084864
HFRO,394677568
HG,2103233664
HGLB,176899248
HGTY,3762928640
HGV,3715878400
HHH,3614006784
HI,2354688000
HIE,218681184
HIG,32366327808
HII,10610456576
HIMS,3382106368
HIO,370886880
HIPO,457278336
HIW,3428703744
HIX,392552608
HKD,574507584
HL,3495683840
HLF,836966592
HLI,10614303744
HLIO,1432105600
HLLY,365319840
HLN,44132859904
HLT,52355883008
HLX,1636090240
HMC,51056828416
HMN,1391439232
HMY,6737051648
HNI,2413506560
HOG,4805482496
HOMB,5281589248
HOUS,526321280
HOV,1159278336
HP,3366571520
HPE,24264839168
HPF,358364992
HPI,458591264
HPP,724550016
HPQ,35140087808
HPS,509969984
HQH,974527424
HQL,423659232
HR,6336368640
HRB,8996833280
HRI,3840369664
HRL,17743151104
HRTG,448909856
HSBC,157686890496
HSHP,331884000
HSY,39140704256
HTD,749028224
HTFC,N/A
HTGC,2987699968
HTH,2031764352
HUBB,20067530752
HUBS,25565026304
HUM,42184044544
